sample,x,y,r
696,100,83,NA
697,99,83,NA
698,100,83,NA
699,99,83,NA
700,100,83,NA
701,99,83,NA
702,100,83,NA
703,99,83,NA
704,100,83,NA
705,99,83,NA
706,100,83,NA
707,99,83,NA
708,100,83,NA
709,99,83,NA
710,100,83,NA
711,99,83,NA
712,100,83,NA
713,99,83,NA
714,100,83,NA
715,99,83,NA
716,100,83,NA
717,99,83,NA
718,100,83,NA
719,99,83,NA
720,100,83,NA
721,99,83,NA
722,100,83,NA
723,99,83,NA
724,100,83,NA
725,99,83,NA
726,100,83,NA
727,99,83,NA
728,100,83,NA
729,99,83,NA
730,100,83,NA
731,99,83,NA
732,100,83,NA
733,99,83,NA
734,100,83,NA
735,99,83,NA
736,100,83,NA
737,99,83,NA
738,100,83,NA
739,99,83,NA
740,100,83,NA
741,99,83,NA
742,100,83,NA
743,99,83,NA
744,100,83,NA
745,99,83,NA
746,100,83,NA
747,99,83,NA
748,100,83,NA
749,99,83,NA
750,100,83,NA
751,99,83,NA
752,100,83,NA
753,99,83,NA
754,100,83,NA
755,99,83,NA
756,100,83,NA
757,99,83,NA
758,100,83,NA
759,99,83,NA
760,100,83,NA
761,99,83,NA
762,100,83,NA
763,99,83,NA
764,100,83,NA
765,99,83,NA
766,100,83,NA
767,99,83,NA
768,100,83,NA
769,99,83,NA
770,100,83,NA
771,99,83,NA
772,100,83,NA
773,99,83,NA
774,100,83,NA
775,99,83,NA
776,100,83,NA
777,99,83,NA
778,100,83,NA
779,99,83,NA
780,100,83,NA
781,99,83,NA
782,100,83,NA
783,99,83,NA
784,100,83,NA
785,99,83,NA
786,100,83,NA
787,99,83,NA
788,100,83,NA
789,99,83,NA
790,100,83,NA
791,99,83,NA
792,100,83,NA
793,99,83,NA
794,100,83,NA
795,99,83,NA
796,100,83,NA
797,99,83,NA
798,98,83,NA
799,97,83,NA
800,98,83,NA
801,97,83,NA
802,98,83,NA
803,97,83,NA
804,98,83,NA
805,97,83,NA
806,98,83,NA
807,97,83,NA
808,98,83,NA
809,97,83,NA
810,98,83,NA
811,99,83,NA
812,100,83,NA
813,99,83,NA
814,100,83,NA
815,99,83,NA
816,100,83,NA
817,99,83,NA
818,100,83,NA
819,99,83,NA
820,100,83,NA
821,99,83,NA
822,100,83,NA
823,99,83,NA
824,100,83,NA
825,99,83,NA
826,100,83,NA
827,99,83,NA
828,100,83,NA
829,99,83,NA
830,100,83,NA
831,99,83,NA
832,100,83,NA
833,99,83,NA
834,100,83,NA
835,99,83,NA
836,100,83,NA
837,99,83,NA
838,100,83,NA
839,99,83,NA
840,100,83,NA
841,99,83,NA
842,100,83,NA
843,99,83,NA
844,100,83,NA
845,99,83,NA
846,100,83,NA
847,99,83,NA
848,100,83,NA
849,99,83,NA
850,100,83,NA
851,99,83,NA
852,100,83,NA
853,99,83,NA
854,100,83,NA
855,99,83,NA
856,100,83,NA
857,99,83,NA
858,100,83,NA
859,99,83,NA
860,100,83,NA
861,99,83,NA
862,100,83,NA
863,99,83,NA
864,100,83,NA
865,99,83,NA
866,100,83,NA
867,99,83,NA
868,100,83,NA
869,99,83,NA
870,100,83,NA
871,99,83,NA
872,100,83,NA
873,99,83,NA
874,100,83,NA
875,99,83,NA
876,100,83,NA
877,99,83,NA
878,100,83,NA
879,99,83,NA
880,100,83,NA
881,99,83,NA
882,100,83,NA
883,99,83,NA
884,100,83,NA
885,99,83,NA
886,100,83,NA
887,99,83,NA
888,100,83,NA
889,99,83,NA
890,100,83,NA
891,99,83,NA
892,100,83,NA
893,99,83,NA
894,100,83,NA
895,99,83,NA
896,100,83,NA
897,99,83,NA
898,100,83,NA
899,99,83,NA
900,100,83,NA
901,99,83,NA
902,100,83,NA
903,99,83,NA
904,100,83,NA
905,99,83,NA
906,100,83,NA
907,99,83,NA
908,100,83,NA
909,99,83,NA
910,100,83,NA
911,99,83,NA
912,100,83,NA
913,99,83,NA
914,100,83,NA
915,99,83,NA
916,100,83,NA
917,99,83,NA
918,100,83,NA
919,99,83,NA
920,100,83,NA
921,99,83,NA
922,100,83,NA
923,99,83,NA
924,100,83,NA
925,103,83,NA
926,104,83,NA
927,99,83,NA
928,104,83,NA
929,103,83,NA
930,104,83,NA
931,103,83,NA
932,104,83,NA
933,103,83,NA
934,104,83,NA
935,103,83,NA
936,106,83,NA
937,105,83,NA
938,106,83,NA
939,105,83,NA
940,106,83,NA
941,105,83,NA
942,106,83,NA
943,105,83,NA
944,106,83,NA
945,105,83,NA
946,106,83,NA
947,105,83,NA
948,106,83,NA
949,105,83,NA
950,106,83,NA
951,105,83,NA
952,106,83,NA
953,105,83,NA
954,106,83,NA
955,105,83,NA
956,106,83,NA
957,105,83,NA
958,106,83,NA
959,105,83,NA
960,106,83,NA
961,105,83,NA
962,106,83,NA
963,105,83,NA
964,106,83,NA
965,105,83,NA
966,106,83,NA
967,105,83,NA
968,106,83,NA
969,105,83,NA
970,106,83,NA
971,105,83,NA
972,106,83,NA
973,105,83,NA
974,106,83,NA
975,105,83,NA
976,106,83,NA
977,105,83,NA
978,106,83,NA
979,105,83,NA
980,106,83,NA
981,105,83,NA
